P12962	P0CF18	0
P47131	P40091	0
P32500	Q05473	0
P47087	P27614	0
P38317	P38763	0
P38725	P36114	0
P47157	P32329	0
P38146	Q12424	0
P52286	Q02908	0
Q08213	P53853	0
P33755	P25659	0
Q12340	P53275	0
P36533	P38635	0
P32364	Q06677	0
P38283	P32606	0
P34220	Q03954	0
P53887	Q02908	0
P47072	P07991	0
Q12459	Q08438	0
P52490	Q02895	0
Q05930	Q12745	0
Q06686	P27614	0
P31385	Q03289	0
P38682	P09733	0
Q04835	O74700	0
P36036	P40574	0
P36080	P23293	0
P28791	P38161	0
P25596	P15565	0
P32317	P53136	0
P09119	P54005	0
P53074	Q08227	0
P00410	Q08438	0
P38194	P32630	0
Q04489	Q03654	0
P38208	P41911	0
P52893	P39975	0
P25583	Q08448	0
P53872	P25612	0
P42940	Q03759	0
P35193	P32525	0
P28496	P25593	0
P41903	Q03508	0
Q08913	Q12100	0
Q08634	P38822	0
P43563	Q06623	0
P43633	P38806	0
P16622	Q03954	0
P32802	P10174	0
P51998	P32833	0
P34222	P33331	0
P25567	P36121	0
P02381	P32860	0
P33309	P47129	0
Q05637	P53145	0
Q3E792	Q04601	0
P40416	P40455	0
P40481	P21264	0
P21651	Q07930	0
P53746	P13902	0
P11709	P13393	0
Q07478	Q12191	0
Q03207	Q92328	0
P43547	P21182	0
P47010	P53833	0
P53090	Q12229	0
P47030	Q00055	0
P53145	P00724	0
Q03036	Q12256	0
P40347	P47117	0
P38710	P38161	0
P47085	Q12333	0
Q08321	Q07949	0
P40571	P21242	0
Q12209	P53288	0
P33550	P00830	0
Q08465	P53900	0
P40990	P52921	0
P38871	Q12164	0
Q04018	Q05359	0
Q04779	P28519	0
Q06835	P11491	0
P17536	P34078	0
P32452	Q99258	0
P53130	P25454	0
P32318	Q04930	0
Q12355	P42844	0
P38013	P25628	0
Q02159	P33323	0
Q12080	P20437	0
P04161	P00420	0
P38347	Q02831	0
P23776	Q05867	0
P43604	P35718	0
P25338	P53883	0
P47111	P40089	0
P54999	P54005	0
P38739	P47113	0
P36081	P39077	0
Q04632	P53315	0
P38157	P39923	0
Q04867	Q12416	0
P46944	Q12531	0
P10869	P21147	0
P32614	Q04304	0
P34226	P38305	0
P32325	P53320	0
P32356	Q92328	0
P14742	P08153	0
P19414	P43574	0
P47013	P46669	0
O13522	P48240	0
P37012	P38523	0
P19955	O13555	0
Q02825	P48240	0
Q04924	Q06834	0
Q06676	P40971	0
P47014	P87272	0
P53011	P53201	0
Q06485	P48164	0
Q03205	P39731	0
P38265	P00724	0
P15624	P39073	0
P40070	P25591	0
Q03904	Q06218	0
Q04235	P38816	0
P07342	P53729	0
Q04299	P33748	0
P40524	P54885	0
P34249	P40209	0
P38325	P32854	0
Q03942	P43560	0
P18239	P25045	0
P43581	P53218	0
Q12052	Q99299	0
P47186	P02365	0
P11709	P53906	0
P33329	P32179	0
P36037	P21264	0
Q3E7B7	Q04921	0
Q08984	P18851	0
P32599	P25659	0
Q06504	P36029	0
P40005	Q08004	0
P32799	P38910	0
P53954	P38804	0
P46673	P54781	0
Q07729	P28320	0
P38191	Q00055	0
P40073	P38305	0
Q02209	P38523	0
P52891	P39721	0
P53743	Q12442	0
P54114	P38872	0
Q08971	P25441	0
Q12128	P14906	0
P40493	Q00381	0
P10834	P41733	0
P36143	P38278	0
P33754	P05743	0
Q08054	P36069	0
P04449	P40209	0
P36106	P0CX27	0
P25651	Q04177	0
P38839	P06843	0
P53725	P25367	0
P53239	P36094	0
P25628	P53204	0
Q3E757	P23394	0
P07236	P28778	0
P21592	P47089	0
Q05779	P23503	0
P53549	P53729	0
Q12318	P38156	0
P48510	Q12212	0
P25606	P34247	0
Q07381	P10174	0
P53330	Q04487	0
P42943	P53130	0
Q06580	P49954	0
P32628	Q3E790	0
Q00055	Q12346	0
Q02046	P39010	0
P39961	P42221	0
P53171	P53905	0
P38690	P38284	0
P40347	P39975	0
P38953	P47141	0
P27614	P25441	0
P53077	P38077	0
P41697	P38806	0
P36528	P34232	0
P32772	Q02260	0
P16474	P33734	0
P27697	P53868	0
P25693	P08432	0
Q08903	P53887	0
P14743	Q03503	0
Q6B0X2	P38264	0
P22696	Q04623	0
P40574	P53604	0
Q06107	Q04089	0
Q12505	Q03920	0
Q12074	P53279	0
P38804	Q06287	0
P07252	Q06672	0
Q07990	P22108	0
Q99287	P22140	0
P53203	P07264	0
P38805	P40089	0
P07273	Q03153	0
P53829	Q05785	0
P48365	Q04562	0
Q12330	Q08911	0
A0A023PZE6	P53833	0
P13856	P22803	0
Q08902	P32460	0
P36153	Q12196	0
P53332	Q04368	0
Q03899	P38604	0
P36031	P06787	0
O13539	Q6Q547	0
P0CH63	Q05611	0
P40988	Q12406	0
P38697	P39010	0
P46973	Q06580	0
P53299	P37292	0
P32579	Q12296	0
P53173	Q3E841	0
P40573	P38335	0
P39735	Q08421	0
P39564	Q08278	0
P36069	P53297	0
P38637	P61830	0
P53335	P40569	0
Q99312	P40955	0
P48232	P53290	0
P22580	P25332	0
P54885	P53195	0
P38828	P25040	0
P53897	Q03262	0
P38626	Q12007	0
Q04526	P53319	0
P53957	P38151	0
P00044	Q06177	0
P39709	P38784	0
P11484	P12612	0
P53843	P40956	0
Q05892	P06245	0
P25719	Q06640	0
P53339	Q04304	0
P38157	Q03792	0
Q07897	P26754	0
P40565	P32839	0
P34249	P38992	0
P47039	Q12115	0
P25620	P40363	0
Q12277	Q05926	0
P00635	P28496	0
P13434	P38205	0
Q02895	Q03954	0
P27809	P53833	0
P20134	Q07879	0
P38915	Q12260	0
P20795	P31376	0
Q12253	P53833	0
Q04226	Q02887	0
P53255	Q12676	0
P53970	P07249	0
P25441	P26793	0
Q06109	Q03772	0
P38137	P53311	0
P47002	P32495	0
P40070	P53059	0
Q03435	P10963	0
Q03525	Q08683	0
P39704	Q02647	0
P42833	P17122	0
P02829	P40538	0
P36106	P26793	0
Q07988	Q07951	0
P15424	P38300	0
P53943	P53066	0
P50945	Q08179	0
Q12029	P53313	0
P41821	P50087	0
Q06604	P47156	0
Q12385	P38326	0
P18562	P41546	0
P38251	Q12408	0
Q12146	P43570	0
P53172	Q3E705	0
P38155	P25039	0
Q08650	P38784	0
P38719	P23833	0
P38770	Q3E769	0
P53136	Q08224	0
Q12213	Q12006	0
P36088	P22354	0
P47009	P32899	0
P01098	P31116	0
